ChannelFader2Tick2 | type=Mesh | parent=ChassisPanelLabels | c=0 | pos=(0.020, 0.060, -0.076) | rot=(0.000, 0.000, 0.000)
ChannelFader2Tick3 | type=Mesh | parent=ChassisPanelLabels | c=0 | pos=(0.020, 0.060, -0.069) | rot=(0.000, 0.000, 0.000)
ChannelFader2Tick4 | type=Mesh | parent=ChassisPanelLabels | c=0 | pos=(0.020, 0.060, -0.062) | rot=(0.000, 0.000, 0.000)
ChannelFader2Tick5 | type=Mesh | parent=ChassisPanelLabels | c=0 | pos=(0.020, 0.060, -0.055) | rot=(0.000, 0.000, 0.000)
ChannelFader2Tick6 | type=Mesh | parent=ChassisPanelLabels | c=0 | pos=(0.020, 0.060, -0.049) | rot=(0.000, 0.000, 0.000)
ChannelFader2Track | type=Mesh | parent=ChannelFader2 | c=0 | pos=(0.000, 0.001, 0.000) | rot=(0.000, 0.000, 0.000)
Chassis | type=Object3D | parent=ControllerRoot | c=20 | pos=(0.000, 0.000, 0.000) | rot=(0.000, 0.000, 0.000)
ChassisKnobPanelLabels | type=Object3D | parent=Chassis | c=19 | pos=(0.000, 0.000, 0.000) | rot=(0.000, 0.000, 0.000)
ChassisPanelLabels | type=Object3D | parent=Chassis | c=39 | pos=(0.000, 0.000, 0.000) | rot=(0.000, 0.000, 0.000)
ChassisRoundedShell | type=Mesh | parent=Chassis | c=0 | pos=(0.000, 0.000, 0.000) | rot=(0.000, 0.000, 0.000)
ControllerRoot | type=Object3D | parent=AuxScene | c=4 | pos=(0.000, 0.000, 0.000) | rot=(0.000, 0.000, 0.000)
Crossfader | type=Object3D | parent=Mixer | c=2 | pos=(-0.000, 0.060, -0.118) | rot=(0.000, 0.000, 0.000)
CrossfaderHandle | type=Object3D | parent=Crossfader | c=2 | pos=(0.000, 0.001, 0.000) | rot=(0.000, 0.000, 0.000)
CrossfaderHandleBody | type=Mesh | parent=CrossfaderHandle | c=0 | pos=(0.000, 0.003, 0.000) | rot=(0.000, 0.000, 0.000)
CrossfaderHandleRidge | type=Mesh | parent=CrossfaderHandle | c=0 | pos=(0.000, 0.007, 0.000) | rot=(0.000, 0.000, 0.000)
CrossfaderScaleTick0 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.021, 0.060, -0.108) | rot=(-1.571, 0.000, 0.000)
CrossfaderScaleTick1 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.011, 0.060, -0.108) | rot=(-1.571, 0.000, 0.000)
CrossfaderScaleTick2 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.000, 0.060, -0.108) | rot=(-1.571, 0.000, 0.000)
CrossfaderScaleTick3 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.010, 0.060, -0.108) | rot=(-1.571, 0.000, 0.000)
CrossfaderScaleTick4 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.021, 0.060, -0.108) | rot=(-1.571, 0.000, 0.000)
CrossfaderSlot | type=Mesh | parent=Chassis | c=0 | pos=(-0.000, 0.059, -0.118) | rot=(0.000, 0.000, 0.000)
CrossfaderTick0 | type=Mesh | parent=ChassisPanelLabels | c=0 | pos=(-0.020, 0.060, -0.118) | rot=(0.000, 0.000, 0.000)
CrossfaderTick1 | type=Mesh | parent=ChassisPanelLabels | c=0 | pos=(-0.013, 0.060, -0.118) | rot=(0.000, 0.000, 0.000)
CrossfaderTick2 | type=Mesh | parent=ChassisPanelLabels | c=0 | pos=(-0.007, 0.060, -0.118) | rot=(0.000, 0.000, 0.000)
CrossfaderTick3 | type=Mesh | parent=ChassisPanelLabels | c=0 | pos=(-0.000, 0.060, -0.118) | rot=(0.000, 0.000, 0.000)
CrossfaderTick4 | type=Mesh | parent=ChassisPanelLabels | c=0 | pos=(0.006, 0.060, -0.118) | rot=(0.000, 0.000, 0.000)
CrossfaderTick5 | type=Mesh | parent=ChassisPanelLabels | c=0 | pos=(0.013, 0.060, -0.118) | rot=(0.000, 0.000, 0.000)
CrossfaderTick6 | type=Mesh | parent=ChassisPanelLabels | c=0 | pos=(0.020, 0.060, -0.118) | rot=(0.000, 0.000, 0.000)
CrossfaderTrack | type=Mesh | parent=Crossfader | c=0 | pos=(0.000, 0.001, 0.000) | rot=(0.000, 0.000, 0.000)
Effects | type=Object3D | parent=CenterSection | c=6 | pos=(0.000, 0.000, 0.000) | rot=(0.000, 0.000, 0.000)
EffectsLabel | type=Mesh | parent=ChassisPanelLabels | c=0 | pos=(0.000, 0.060, -0.121) | rot=(1.571, 0.000, 0.000)
Fidelity_-26_-31664_20085 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.032, 0.060, 0.020) | rot=(1.571, 0.000, 0.000)
Fidelity_-26_-31664_45434 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.032, 0.060, 0.045) | rot=(1.571, 0.000, 0.000)
Fidelity_-26_-31664_70481 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.032, 0.060, 0.070) | rot=(1.571, 0.000, 0.000)
Fidelity_-26_8256_20085 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.008, 0.060, 0.020) | rot=(1.571, 0.000, 0.000)
Fidelity_-26_8256_45434 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.008, 0.060, 0.045) | rot=(1.571, 0.000, 0.000)
Fidelity_-26_8256_70481 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.008, 0.060, 0.070) | rot=(1.571, 0.000, 0.000)
Fidelity_-INF_-29664_91 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.030, 0.060, 0.091) | rot=(1.571, 0.000, 0.000)
Fidelity_-INF_10256_91 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.010, 0.060, 0.091) | rot=(1.571, 0.000, 0.000)
Fidelity_+6_-76640000000000015_20085 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.008, 0.060, 0.020) | rot=(1.571, 0.000, 0.000)
Fidelity_+6_-76640000000000015_45434 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.008, 0.060, 0.045) | rot=(1.571, 0.000, 0.000)
Fidelity_+6_-76640000000000015_70481 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.008, 0.060, 0.070) | rot=(1.571, 0.000, 0.000)
Fidelity_+6_32256_20085 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.032, 0.060, 0.020) | rot=(1.571, 0.000, 0.000)
Fidelity_+6_32256_45434 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.032, 0.060, 0.045) | rot=(1.571, 0.000, 0.000)
Fidelity_+6_32256_70481 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.032, 0.060, 0.070) | rot=(1.571, 0.000, 0.000)
Fidelity_+9_-9664000000000001_91 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.010, 0.060, 0.091) | rot=(1.571, 0.000, 0.000)
Fidelity_+9_30256_91 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.030, 0.060, 0.091) | rot=(1.571, 0.000, 0.000)
Fidelity_1_-19664_-39 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.020, 0.060, -0.039) | rot=(1.571, 0.000, 0.000)
Fidelity_1_2_1&2_57_345 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.057, 0.060, 0.035) | rot=(1.571, 0.000, 0.000)
Fidelity_12X_-141495_100 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.141, 0.060, 0.100) | rot=(1.571, 0.000, 0.000)
Fidelity_12X_174023_100 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.174, 0.060, 0.100) | rot=(1.571, 0.000, 0.000)
Fidelity_2_20256_-39 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.020, 0.060, -0.039) | rot=(1.571, 0.000, 0.000)
Fidelity_2X_-1205_100 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.120, 0.060, 0.100) | rot=(1.571, 0.000, 0.000)
Fidelity_2X_194722_100 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.195, 0.060, 0.100) | rot=(1.571, 0.000, 0.000)
Fidelity_4_BEAT__EXIT_-167517_1178 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.168, 0.060, 0.118) | rot=(1.571, 0.000, 0.000)
Fidelity_4_BEAT__EXIT_147409_1178 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.147, 0.060, 0.118) | rot=(1.571, 0.000, 0.000)
Fidelity_AUTO_49531_-36 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.050, 0.060, -0.036) | rot=(1.571, 0.000, 0.000)
Fidelity_BACK_0444_1078 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.000, 0.060, 0.108) | rot=(1.571, 0.000, 0.000)
Fidelity_BEAT_57_-18 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.057, 0.060, -0.018) | rot=(1.571, 0.000, 0.000)
Fidelity_BEAT_FX_57_39 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.057, 0.060, 0.039) | rot=(1.571, 0.000, 0.000)
